"WHOREGION","MMWR_WEEKSTARTDATE","TOT_INF_ALL","TOT_INF_A","TOT_INF_B"
"AMR",2023-05-07,4085,1662,1662
"AMR",2023-05-14,4139,1503,1503
"AMR",2023-05-21,3822,1378,1378
"AMR",2023-05-28,3552,1254,1254
"AMR",2023-06-04,3094,968,968
"AMR",2023-06-11,2788,828,828
"AMR",2023-06-18,2466,698,698
"AMR",2023-06-25,2206,609,609
"AMR",2023-07-02,2066,564,564
"AMR",2023-07-09,1478,480,480
"AMR",2023-07-16,1248,408,408
"AMR",2023-07-23,1125,432,432
"AMR",2023-07-30,1055,413,413
"AMR",2023-08-06,1019,410,410
"AMR",2023-08-13,1084,487,487
"AMR",2023-08-20,988,414,414
"AMR",2023-08-27,1037,413,413
"AMR",2023-09-03,1027,406,406
"AMR",2023-09-10,1158,453,453
"AMR",2023-09-17,1326,538,538
"AMR",2023-09-24,1306,495,495
"AMR",2023-10-01,1570,591,591
"AMR",2023-10-08,1800,640,640
"AMR",2023-10-15,2273,742,742
"AMR",2023-10-22,2632,781,781
"AMR",2023-10-29,3847,961,961
"AMR",2023-11-05,6641,1559,1559
"AMR",2023-11-12,8762,1767,1767
"AMR",2023-11-19,10032,1737,1737
"AMR",2023-11-26,14156,2225,2225
"AMR",2023-12-03,19590,2784,2784
"AMR",2023-12-10,26924,3976,3976
"AMR",2023-12-17,35727,5199,5199
"AMR",2023-12-24,34287,5188,5188
"AMR",2023-12-31,27673,4355,4355
"AMR",2024-01-07,24704,4281,4281
"AMR",2024-01-14,22398,4480,4480
"AMR",2024-01-21,24589,5727,5727
"AMR",2024-01-28,24844,6996,6996
"AMR",2024-02-04,20656,6778,6778
"AMR",2024-02-11,3588,685,685
