"WHOREGION","MMWR_WEEKSTARTDATE","TOT_INF_A"
"AFR",2023-05-07,144
"AFR",2023-05-14,184
"AFR",2023-05-21,240
"AFR",2023-05-28,242
"AFR",2023-06-04,145
"AFR",2023-06-11,114
"AFR",2023-06-18,132
"AFR",2023-06-25,115
"AFR",2023-07-02,141
"AFR",2023-07-09,120
"AFR",2023-07-16,130
"AFR",2023-07-23,141
"AFR",2023-07-30,95
"AFR",2023-08-06,131
"AFR",2023-08-13,95
"AFR",2023-08-20,159
"AFR",2023-08-27,119
"AFR",2023-09-03,146
"AFR",2023-09-10,173
"AFR",2023-09-17,167
"AFR",2023-09-24,132
"AFR",2023-10-01,137
"AFR",2023-10-08,155
"AFR",2023-10-15,138
"AFR",2023-10-22,148
"AFR",2023-10-29,164
"AFR",2023-11-05,134
"AFR",2023-11-12,165
"AFR",2023-11-19,180
"AFR",2023-11-26,200
"AFR",2023-12-03,152
"AFR",2023-12-10,175
"AFR",2023-12-17,164
"AFR",2023-12-24,163
"AFR",2023-12-31,131
"AFR",2024-01-07,198
"AFR",2024-01-14,159
"AFR",2024-01-21,116
"AFR",2024-01-28,88
"AFR",2024-02-04,62
"AFR",2024-02-11,38
"AMR",2023-05-07,2423
"AMR",2023-05-14,2636
"AMR",2023-05-21,2444
"AMR",2023-05-28,2298
"AMR",2023-06-04,2126
"AMR",2023-06-11,1960
"AMR",2023-06-18,1768
"AMR",2023-06-25,1597
"AMR",2023-07-02,1502
"AMR",2023-07-09,998
"AMR",2023-07-16,840
"AMR",2023-07-23,693
"AMR",2023-07-30,642
"AMR",2023-08-06,609
"AMR",2023-08-13,597
"AMR",2023-08-20,574
"AMR",2023-08-27,624
"AMR",2023-09-03,621
"AMR",2023-09-10,705
"AMR",2023-09-17,788
"AMR",2023-09-24,811
"AMR",2023-10-01,979
"AMR",2023-10-08,1160
"AMR",2023-10-15,1531
"AMR",2023-10-22,1851
"AMR",2023-10-29,2886
"AMR",2023-11-05,5082
"AMR",2023-11-12,6995
"AMR",2023-11-19,8295
"AMR",2023-11-26,11931
"AMR",2023-12-03,16806
"AMR",2023-12-10,22948
"AMR",2023-12-17,30528
"AMR",2023-12-24,29099
"AMR",2023-12-31,23318
"AMR",2024-01-07,20423
"AMR",2024-01-14,17918
"AMR",2024-01-21,18862
"AMR",2024-01-28,17848
"AMR",2024-02-04,13878
"AMR",2024-02-11,2903
"EMR",2023-05-07,48
"EMR",2023-05-14,41
"EMR",2023-05-21,37
"EMR",2023-05-28,37
"EMR",2023-06-04,40
"EMR",2023-06-11,39
"EMR",2023-06-18,41
"EMR",2023-06-25,26
"EMR",2023-07-02,237
"EMR",2023-07-09,130
"EMR",2023-07-16,51
"EMR",2023-07-23,63
"EMR",2023-07-30,121
"EMR",2023-08-06,162
"EMR",2023-08-13,168
"EMR",2023-08-20,213
"EMR",2023-08-27,295
"EMR",2023-09-03,455
"EMR",2023-09-10,712
"EMR",2023-09-17,803
"EMR",2023-09-24,927
"EMR",2023-10-01,1337
"EMR",2023-10-08,1696
"EMR",2023-10-15,1951
"EMR",2023-10-22,2298
"EMR",2023-10-29,1771
"EMR",2023-11-05,1754
"EMR",2023-11-12,1443
"EMR",2023-11-19,1666
"EMR",2023-11-26,1398
"EMR",2023-12-03,1209
"EMR",2023-12-10,1273
"EMR",2023-12-17,1129
"EMR",2023-12-24,809
"EMR",2023-12-31,773
"EMR",2024-01-07,798
"EMR",2024-01-14,522
"EMR",2024-01-21,489
"EMR",2024-01-28,473
"EMR",2024-02-04,235
"EMR",2024-02-11,69
"EUR",2023-05-07,276
"EUR",2023-05-14,191
"EUR",2023-05-21,154
"EUR",2023-05-28,123
"EUR",2023-06-04,143
"EUR",2023-06-11,127
"EUR",2023-06-18,88
"EUR",2023-06-25,64
"EUR",2023-07-02,77
"EUR",2023-07-09,148
"EUR",2023-07-16,115
"EUR",2023-07-23,143
"EUR",2023-07-30,113
"EUR",2023-08-06,131
"EUR",2023-08-13,151
"EUR",2023-08-20,142
"EUR",2023-08-27,157
"EUR",2023-09-03,172
"EUR",2023-09-10,148
"EUR",2023-09-17,187
"EUR",2023-09-24,215
"EUR",2023-10-01,374
"EUR",2023-10-08,442
"EUR",2023-10-15,494
"EUR",2023-10-22,695
"EUR",2023-10-29,992
"EUR",2023-11-05,1313
"EUR",2023-11-12,1778
"EUR",2023-11-19,2638
"EUR",2023-11-26,4157
"EUR",2023-12-03,7600
"EUR",2023-12-10,13410
"EUR",2023-12-17,19563
"EUR",2023-12-24,21892
"EUR",2023-12-31,22981
"EUR",2024-01-07,20061
"EUR",2024-01-14,23179
"EUR",2024-01-21,27852
"EUR",2024-01-28,24468
"EUR",2024-02-04,11612
"SEAR",2023-05-07,76
"SEAR",2023-05-14,64
"SEAR",2023-05-21,73
"SEAR",2023-05-28,81
"SEAR",2023-06-04,95
"SEAR",2023-06-11,84
"SEAR",2023-06-18,46
"SEAR",2023-06-25,88
"SEAR",2023-07-02,119
"SEAR",2023-07-09,145
"SEAR",2023-07-16,179
"SEAR",2023-07-23,156
"SEAR",2023-07-30,195
"SEAR",2023-08-06,248
"SEAR",2023-08-13,263
"SEAR",2023-08-20,325
"SEAR",2023-08-27,332
"SEAR",2023-09-03,308
"SEAR",2023-09-10,280
"SEAR",2023-09-17,317
"SEAR",2023-09-24,354
"SEAR",2023-10-01,364
"SEAR",2023-10-08,308
"SEAR",2023-10-15,228
"SEAR",2023-10-22,140
"SEAR",2023-10-29,127
"SEAR",2023-11-05,125
"SEAR",2023-11-12,86
"SEAR",2023-11-19,111
"SEAR",2023-11-26,70
"SEAR",2023-12-03,83
"SEAR",2023-12-10,95
"SEAR",2023-12-17,73
"SEAR",2023-12-24,105
"SEAR",2023-12-31,130
"SEAR",2024-01-07,199
"SEAR",2024-01-14,182
"SEAR",2024-01-21,148
"SEAR",2024-01-28,122
"SEAR",2024-02-04,62
"SEAR",2024-02-11,40
"WHO_",2023-11-26,1
"WHO_",2023-12-10,1
"WHO_",2023-12-17,4
"WHO_",2023-12-24,3
"WHO_",2023-12-31,2
"WHO_",2024-01-07,2
"WHO_",2024-01-14,10
"WHO_",2024-01-21,10
"WHO_",2024-01-28,8
"WPR",2023-05-07,2148
"WPR",2023-05-14,1381
"WPR",2023-05-21,1174
"WPR",2023-05-28,1155
"WPR",2023-06-04,1091
"WPR",2023-06-11,1099
"WPR",2023-06-18,1169
"WPR",2023-06-25,1249
"WPR",2023-07-02,1467
"WPR",2023-07-09,1249
"WPR",2023-07-16,1281
"WPR",2023-07-23,1357
"WPR",2023-07-30,1331
"WPR",2023-08-06,1376
"WPR",2023-08-13,1407
"WPR",2023-08-20,1557
"WPR",2023-08-27,1463
"WPR",2023-09-03,1949
"WPR",2023-09-10,1973
"WPR",2023-09-17,2310
"WPR",2023-09-24,2437
"WPR",2023-10-01,2218
"WPR",2023-10-08,2731
"WPR",2023-10-15,3181
"WPR",2023-10-22,4327
"WPR",2023-10-29,5229
"WPR",2023-11-05,6395
"WPR",2023-11-12,10016
"WPR",2023-11-19,14107
"WPR",2023-11-26,15709
"WPR",2023-12-03,16135
"WPR",2023-12-10,13769
"WPR",2023-12-17,11097
"WPR",2023-12-24,10177
"WPR",2023-12-31,8569
"WPR",2024-01-07,6537
"WPR",2024-01-14,4690
"WPR",2024-01-21,3080
"WPR",2024-01-28,2530
"WPR",2024-02-04,1377
"WPR",2024-02-11,84
